record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message,unconstrained_outside_box,constrained_fallback_used,boundary_active,constrained_solver_status,estimate,truth,standard_error,variance,extreme_estimate_flag,true_rank_vector,rank_classification,pilot_accepted,final_postrefit_valid
replication,f6c655e22d7c8930,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth1-0-2,2268ea6113e315728d2388f2cb5de7da6c6bf28e519e2993bdb9ca868ba79f76,48.55352699999639,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth1-0-2,94eb109b2c181cf733dd5ec62e9c8f55bbac69f83470943a1c5831b2f6570700,48.48079719999805,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth1-0-2,460d040e00dd04334e45d958229d30108a574268d218d5034f0263cec6568bae,18.96649909998814,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth1-1-1,015cf4ed92c19e21649ba55ad263d11a69ced524679632f7b4e8e17e7e7bd087,100.78500869999698,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,success,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth1-1-1,dd78c9e7d12f39c924f3e88d39eeee943c464b21565d4a90ab06cdbe7de36ff2,99.93867469999532,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth1-1-1,78979070d4f8ceff0b43f1c6d8aad33b21b82cfbca408fb9fa53571c0fd94168,76.58377250000194,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth2-1-1,08444d93ee6d8e058bd0d0706fda06282759009a218b30299d6956c4f0b9d144,26.2062975000008,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(2,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth2-1-1,98ebddb0153805751311b3434305b6d4f31405c409955159b41e83ed5bb3f527,28.214665499996045,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(2,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth2-1-1,89e8a065dbb671566ba7e9a1126a396ad5000cff1951248ef6d1f9dcf703c878,28.557748399995035,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(2,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00000_truth1-0-2,4fcb9056da9ef76d489d7004bbe57eb86c05bc11d643ebeabec3ff59e94f2c41,81.72793589999492,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00001_truth1-0-2,d41336b54b844c5fbae13c3a780f656a65fbba7c6dfb357f0511379160fd0003,33.22653890000947,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00002_truth1-0-2,68c95c38450c6841c028605e5f0cf6e8690cca2fc8a10a50fa3b4effcda2d760,33.00081529999443,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(1,0,2)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00000_truth1-1-1,faa9efb53617d2d67d5fc77e2668871d9ad3ea9fe3399f9491bc84592fa8b931,186.3122055999993,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00001_truth1-1-1,a7d8fa2c6c83bea6e220f74fb295bcbdc089593aad4f4b78851bda8c029d6845,184.70135540000047,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00002_truth1-1-1,84907761fca748d52525db58752e571ca6eac65cd20012acae70b83bf06fd3b4,133.51136000000406,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(1,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00000_truth2-1-1,30007f1e4229be0f98cf2d91af5e6212f1634d5ec325f79376eb07755dfd5e66,50.74733539999579,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(2,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00001_truth2-1-1,d807dbd41ae60034fa4cea0e16262e6328130f43035934a04e2d86a057984038,140.63027800001146,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure,,,,,False,"(2,1,1)",unresolved,False,False
replication,f6c655e22d7c8930,1,100,200,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00002_truth2-1-1,ecb2674d690afb1d4b3fa7a40eb3fe9435e6e7e39a49cf3913f3d96283f11944,53.64987009999459,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path,,,,,False,"(2,1,1)",unresolved,False,False
