"relative_path","size_bytes","sha256"
"config.toml","1971","569b70a3ce968bdd94dad3a3725234d2dae8f31eec68bd62655b060ec9ffaf11"
"scientific_fingerprint.json","1445","514fe29a806336ec863822451e8dbf8ee4ed496016f3d8efcf4653f02605e3a1"
"run_manifest.json","2911","9aa232d16ce6ac8553ac9f485fe92013dff90bc4b943d67d1bd63cd6b4330295"
"progress.json","325","53d5e96c8499daf074396aeb41305b64743f9c845a4dde712fcbdb5ee3bc6fec"
"resume_log.json","207","7cc4aa41c8cf839d3ab0e2648f81c9106dd1c3dac7cb1e6d300c4e9319f6e385"
"raw_index.csv","187033","797840ff344bc3722a9f738732c16ce318891cf87867a0508c7b0ed1975d008f"
"summaries/main_summary.csv","357","a66f71a31005077afeb66f997a822076a86e688181992ca8875eb37300e4c6c3"
"summaries/by_target.csv","6519","5d5033238de83dd219d06dc8d644ced12807ba4fc2faf92503d7e1b12061738e"
"summaries/retention.csv","852","964e6f960c7d65b78739c4f07b6296e094122d6027928e5cbf2c5cf18b9278f4"
"summaries/numerical_failures.csv","1789","c7816d9b72d86dc23a2ea9f734b800dbd58b32dd39b61da56f69c5eefb98dd86"
"summaries/extreme_records.csv","412","0bce84ac091e99150b117309f53d31cb0f24052d8419766012e3b0f80cd875e3"
"summaries/runtime.csv","727","d4190a3a505375b96c4cc76c87873014f311c4c236efd4f6382858c9f7d66d14"
"summaries/fit_diagnostics_summary.csv","733","9c594a7627ac5ad79b7518d73842f5f01213c5d46505520844cc87aa02f43dcb"
"summaries/diagnostic_totals.json","1049","20eca201d8da172ca6a7e53ab8182d6b3e99f756c210379f445a9358edaaa344"
"summaries/n50_n100_comparison.csv","11669","1c603d7ec96d78cf37a985376eb01c92af2e53d49d7196bdbce9478036fb206d"
"tables/dgp1_n100_target_results.csv","6519","5d5033238de83dd219d06dc8d644ced12807ba4fc2faf92503d7e1b12061738e"
"table_figure_field_audit.md","1709","298d3cf5d05ead08985f491334d30eab73aaafac2efc4e333f8b4cf11fcadba2"
"report.md","4785","34996026792d8041b60e89d4e38d3a5ad27a6abbe734803e1051869fee61b265"
"decision.md","242","bb05d79ae97bac6fd8c4b7206c123f6668c44c73bc1035b794801611f160798a"
